,Position,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing,Player_Height
304,3,80,73,78,82,74,80,79,78,73,80,77,82,71,177
305,2,85,73,78,84,51,62,85,85,41,78,84,81,68,170
306,2,88,78,76,86,57,74,90,94,58,78,84,78,75,169
307,1,80,80,56,74,32,80,72,48,25,82,81,53,83,189
308,5,61,46,60,59,83,76,56,56,83,35,62,59,37,190
309,3,74,77,83,81,64,75,74,75,65,72,75,85,71,182
310,2,90,79,74,81,34,63,89,82,22,80,90,74,74,174
311,4,76,52,76,76,79,76,74,70,78,64,78,57,35,180
312,5,50,42,60,54,81,81,35,46,79,43,63,46,42,195
313,1,78,80,60,76,32,78,77,66,20,86,80,60,85,181
314,4,74,56,71,75,81,78,71,76,81,65,75,67,48,176
315,1,73,79,67,76,31,77,65,52,22,79,77,74,82,191
316,1,83,85,61,78,29,65,83,88,23,83,84,70,87,170
317,4,76,65,73,74,78,78,77,74,77,67,75,64,59,178
318,1,77,81,66,77,45,79,73,55,29,82,78,68,82,189
319,5,71,64,69,67,83,76,59,73,83,56,74,63,60,180
320,4,85,42,70,78,80,68,82,75,81,64,86,58,33,176
328,1,87,78,81,83,34,74,82,78,24,80,88,82,76,180
333,4,83,67,72,77,79,78,75,74,80,75,85,71,66,177
334,5,80,43,67,69,81,77,69,78,80,53,80,67,32,180
336,2,88,72,76,82,34,53,89,92,27,78,87,75,72,163
337,2,73,72,80,84,50,67,84,84,31,75,69,85,74,173
338,4,84,40,75,78,78,82,86,82,80,58,86,59,30,173
341,2,93,69,70,84,46,62,88,91,48,75,92,69,71,170
350,2,88,78,76,86,57,74,90,94,58,78,84,78,75,169
353,4,78,71,79,78,76,80,72,74,71,79,80,74,63,184
354,2,74,73,82,79,62,70,74,70,54,77,74,83,67,182
355,5,52,46,66,65,80,81,57,46,82,44,52,59,37,192
356,5,82,52,60,66,82,77,83,79,83,49,83,56,40,182
357,2,96,66,70,82,36,66,85,80,29,79,97,65,65,177
358,3,79,78,78,81,68,85,76,73,56,76,79,79,70,183
359,3,80,71,76,80,76,80,79,84,71,78,78,74,63,176
360,3,64,71,73,71,75,88,57,52,71,74,71,78,71,194
361,3,68,60,69,73,83,83,79,73,83,60,70,71,53,183
362,2,84,76,77,84,65,57,89,84,67,76,82,81,78,172
363,5,60,40,52,47,81,82,51,48,83,33,62,47,25,190
364,2,84,74,75,82,69,82,83,84,63,77,83,74,70,178
365,3,67,72,77,73,75,77,68,59,69,69,65,78,59,183
366,5,61,59,60,59,81,82,39,43,81,39,68,59,44,189
367,4,73,60,71,61,79,78,64,60,79,64,76,66,58,184
368,4,83,59,73,79,76,78,78,62,77,68,87,72,56,180
369,2,92,63,73,83,27,60,94,92,25,76,91,81,65,165
370,4,80,65,73,79,75,76,74,77,72,69,78,68,64,179
371,2,88,73,73,84,43,66,85,84,40,84,86,70,72,171
373,3,55,67,73,66,78,83,53,50,69,61,55,76,60,195
375,3,59,57,70,60,80,87,59,52,82,42,63,65,42,186
376,3,65,71,82,70,72,75,76,60,69,73,66,84,59,184
377,2,91,68,66,86,26,59,93,77,25,77,92,61,72,179
378,4,83,40,73,78,76,82,86,82,78,58,85,57,30,173
379,4,85,58,72,75,75,77,79,82,71,61,85,66,52,172
380,2,72,71,78,83,49,67,83,83,30,74,68,83,73,173
381,2,80,73,76,84,31,62,84,78,28,76,77,76,70,177
382,5,58,42,61,60,81,66,54,34,81,32,62,56,39,196
383,1,87,77,69,83,39,72,83,83,30,82,87,76,82,175
384,4,84,64,74,81,77,77,76,76,76,77,83,70,57,180
385,1,62,78,69,69,38,82,58,45,26,84,63,75,76,192
386,4,72,72,84,74,76,76,71,65,78,75,74,82,68,178
387,1,70,81,73,82,31,68,78,83,27,84,68,83,82,175
388,1,42,85,69,69,30,71,50,31,23,85,51,70,86,193
389,2,95,79,74,78,38,68,81,66,36,83,95,76,84,187
390,5,71,63,69,62,80,77,66,60,79,40,70,62,55,182
391,1,86,76,68,77,37,73,83,71,25,79,88,66,83,186
392,1,75,75,74,81,28,60,80,51,26,83,72,85,76,188
393,5,75,59,66,66,79,82,73,62,77,54,76,55,51,186
394,4,79,56,74,73,80,76,75,73,79,64,79,68,46,178
401,1,81,79,71,83,40,72,78,68,26,85,82,69,80,191
402,4,82,75,77,78,78,79,78,63,76,79,84,73,68,184
403,2,91,76,73,85,28,76,83,87,24,83,90,76,69,176
404,2,83,76,75,86,26,46,84,85,21,76,80,78,71,170
406,2,78,70,75,86,39,59,85,86,27,81,77,74,62,175
409,2,91,68,66,86,26,59,93,77,25,77,92,61,72,179
417,4,68,70,77,75,78,78,64,58,75,72,66,72,54,187
418,2,88,69,75,85,26,46,94,92,24,73,84,79,67,163
419,2,89,72,70,82,26,60,84,73,26,73,89,66,72,178
420,1,77,79,51,67,36,77,41,31,25,81,79,72,80,203
421,3,61,53,69,68,78,88,53,47,81,43,65,61,44,188
422,1,78,82,81,82,29,57,80,84,25,85,72,79,85,170
423,2,86,73,75,81,34,53,84,83,24,69,84,78,72,175
424,1,86,77,55,68,33,75,75,68,25,79,90,59,84,185
425,3,77,64,70,74,77,77,73,62,76,40,77,71,60,182
426,2,89,76,74,84,30,54,84,82,25,78,90,73,78,171
427,2,83,73,70,84,63,72,83,80,63,77,85,75,75,175
428,2,81,80,77,83,28,59,79,71,25,76,79,78,82,183
429,2,89,70,71,85,41,65,90,75,33,66,90,66,70,180
430,2,89,71,71,84,40,72,84,88,36,73,89,70,69,175
431,2,77,72,79,83,39,60,80,82,29,75,76,81,67,178
432,2,88,75,72,82,41,61,89,80,37,73,86,78,72,172
433,1,86,78,58,80,32,74,92,78,25,76,86,58,81,175
434,2,87,70,73,81,32,52,88,91,25,76,86,72,70,163
435,4,90,66,75,75,72,82,85,75,67,84,91,78,66,180
436,2,88,75,78,79,60,51,94,94,65,76,91,80,75,166
437,2,79,71,74,80,54,74,70,56,55,70,79,78,69,189
438,3,74,56,66,73,79,88,76,71,78,52,73,64,46,180
439,4,87,62,70,80,74,71,88,87,72,70,86,58,53,171
440,2,91,71,72,84,28,75,82,86,24,78,90,75,64,176
441,2,90,66,72,85,36,52,86,82,29,77,88,77,68,175
442,4,81,67,71,77,78,77,75,74,79,75,83,70,66,177
446,2,91,74,69,82,40,79,76,45,25,80,95,67,69,188
447,1,62,83,77,74,54,77,60,58,43,84,67,79,83,196
448,2,90,73,72,82,33,63,85,79,30,78,91,71,69,183
449,2,86,74,74,81,30,60,97,71,27,62,85,70,71,180
450,2,69,82,79,74,50,67,69,63,54,79,69,80,79,186
451,1,93,76,66,78,35,70,84,86,26,79,93,73,77,170
454,2,80,77,76,85,34,69,86,83,32,74,82,76,75,178
455,2,86,74,74,81,30,60,97,71,27,62,85,70,71,180
457,2,78,71,78,81,40,52,85,78,40,71,74,77,73,177
458,1,78,74,65,79,40,72,84,85,29,78,77,63,78,174
459,4,81,52,73,74,77,82,76,71,77,66,82,69,42,184
460,2,92,68,65,84,27,50,92,91,25,72,92,68,64,172
461,5,71,35,55,56,78,79,50,34,77,50,73,56,29,192
462,1,73,78,61,67,49,85,58,50,41,74,76,64,76,191
463,5,48,60,57,54,78,77,55,36,80,53,49,48,50,192
464,2,68,71,80,78,55,68,76,63,51,66,68,81,66,185
465,4,83,63,70,75,76,82,77,78,76,72,83,68,64,176
466,5,73,45,52,47,76,84,52,48,72,37,77,49,26,193
467,2,87,64,69,85,41,50,89,94,31,70,83,58,62,173
469,1,72,78,59,70,40,82,62,64,29,85,76,61,83,189
470,5,74,50,67,64,80,75,65,47,80,50,79,68,44,195
471,2,74,87,76,77,38,69,70,72,32,80,72,78,87,182
472,2,82,74,75,80,42,74,77,57,35,76,84,78,68,192
473,5,67,32,52,54,79,79,49,59,79,33,69,40,31,193
474,3,49,78,83,74,64,73,65,65,59,73,48,79,70,182
475,4,85,63,71,75,73,75,74,69,75,73,85,70,59,181
476,2,84,64,73,74,78,82,75,73,75,69,85,65,58,183
477,5,57,36,52,60,79,76,55,33,80,33,60,64,31,195
478,2,86,66,72,78,66,72,85,89,59,75,87,70,58,170
479,1,86,77,69,83,31,65,89,83,22,81,90,70,78,175
480,5,46,60,61,50,80,78,67,57,81,53,47,49,49,186
481,2,89,67,70,81,34,44,87,88,22,73,91,72,69,170
482,2,72,77,74,79,34,67,74,75,28,80,69,76,70,179
483,5,47,47,43,44,79,81,32,31,79,35,45,46,47,193
484,3,49,68,84,73,52,68,48,62,44,69,51,83,65,179
485,2,75,76,78,78,37,56,78,77,31,74,74,77,70,176
486,4,88,49,72,75,73,76,79,83,72,62,89,58,23,174
487,2,91,68,66,83,28,67,93,80,25,77,90,68,68,175
488,2,68,80,77,73,50,66,68,62,54,77,68,78,77,186
489,2,88,71,69,81,29,62,86,74,25,72,90,70,67,180
490,3,80,69,70,71,77,84,68,66,75,66,81,68,65,184
492,2,88,72,70,82,48,68,87,87,37,77,87,74,76,173
493,1,56,76,57,66,34,79,64,34,25,84,58,68,79,194
494,4,91,63,71,72,76,80,68,73,74,67,93,67,50,178
495,2,87,65,72,80,42,61,90,84,42,77,88,74,64,167
503,2,82,75,73,78,71,85,75,60,68,77,82,70,73,187
504,5,76,51,70,64,82,76,68,60,78,54,79,64,41,185
505,1,77,78,74,75,55,70,78,54,47,76,78,76,71,188
506,1,76,80,70,76,37,76,73,78,29,80,78,81,79,188
512,4,79,55,64,66,78,86,72,66,76,63,83,65,55,180
514,2,86,77,69,83,31,65,89,83,22,81,90,70,78,175
515,2,87,64,69,85,41,50,89,94,31,70,83,58,62,173
516,3,70,74,73,74,74,83,74,78,68,73,72,69,64,179
518,4,87,71,71,77,71,80,84,83,68,81,89,66,62,175
519,5,37,41,51,46,76,80,22,28,75,25,37,26,34,199
520,5,65,45,46,44,76,82,46,42,75,37,68,33,35,192
521,2,76,76,77,75,70,78,71,70,67,71,78,71,67,180
522,2,91,66,70,82,28,63,92,88,25,71,92,71,64,173
523,2,89,70,69,81,31,71,79,77,25,69,90,68,70,181
524,3,64,57,69,70,72,87,62,53,64,56,67,65,46,182
525,3,72,55,67,68,76,82,62,43,76,59,69,68,45,192
526,4,82,59,73,74,74,84,74,74,74,73,83,74,47,180
527,2,87,67,71,80,30,69,87,82,28,68,87,68,61,175
528,3,75,71,72,80,71,81,74,56,68,78,77,76,64,190
529,2,91,77,70,79,32,56,91,92,25,75,91,61,75,173
530,5,71,43,62,65,76,81,56,54,76,41,75,62,28,192
531,4,86,59,73,77,72,80,79,72,69,67,87,66,49,184
532,5,80,45,43,40,78,74,44,34,76,39,83,34,39,194
534,2,75,72,76,78,41,60,77,85,41,69,76,76,64,173
535,1,93,74,64,76,34,66,82,84,25,77,93,71,75,170
536,5,78,28,54,60,80,74,51,45,79,21,80,48,22,192
537,2,91,64,72,73,65,76,86,83,51,71,91,68,57,171
538,2,86,78,67,77,29,58,78,75,25,77,86,57,78,183
539,2,89,74,71,76,35,60,83,71,25,72,89,69,76,177
540,5,52,54,57,51,78,85,34,40,78,45,54,53,52,191
541,2,60,80,76,72,53,75,58,56,42,81,65,78,80,196
542,2,73,73,76,76,32,63,77,76,27,75,75,81,72,174
543,3,67,68,77,77,56,61,73,74,53,76,66,82,61,172
544,2,87,73,71,83,27,55,89,72,25,73,84,68,75,178
545,2,88,61,71,84,36,49,94,91,31,74,85,73,63,172
546,2,86,76,70,80,32,59,81,72,26,70,86,69,80,176
547,5,81,65,59,66,77,74,58,76,79,51,84,46,59,184
548,3,75,74,71,73,74,86,73,71,65,77,76,72,71,188
549,5,51,53,48,39,77,86,26,42,75,33,53,31,45,191
550,4,72,60,72,70,74,78,64,70,72,62,75,72,45,180
551,2,91,68,71,80,32,58,88,84,31,74,92,71,65,179
552,1,91,70,79,85,28,52,93,93,23,83,89,83,70,164
553,1,86,76,60,70,32,71,77,69,24,84,84,65,79,175
554,4,79,64,70,74,75,74,73,68,74,67,79,67,57,182
555,1,60,77,50,59,38,74,59,49,28,83,62,47,81,196
556,5,53,55,64,51,76,76,34,42,74,49,55,54,55,193
557,5,61,43,51,53,77,80,34,34,76,29,66,50,37,192
559,2,88,54,72,75,72,69,91,91,71,67,85,66,45,170
560,2,87,67,74,78,40,54,78,93,32,68,86,71,66,170
561,2,93,65,70,83,48,64,86,80,47,73,94,69,68,175
562,2,91,62,70,82,30,62,85,81,21,72,91,73,58,176
563,5,51,39,49,40,78,78,46,34,76,37,52,48,39,194
568,5,61,39,55,64,82,80,65,59,82,44,65,58,47,187
569,4,86,60,66,75,76,77,79,83,76,68,86,57,54,175
570,1,84,78,71,79,45,63,86,86,42,70,84,71,79,173
571,3,77,57,72,70,77,78,86,95,76,61,72,62,41,168
572,4,84,62,72,80,77,70,88,89,80,72,84,65,62,172
577,2,91,66,70,82,28,63,92,88,25,71,92,71,64,173
