,Name,Rat,Position,Version,Price,Skils,Weak_Foot,WR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing
93,Jérémy Toulalan,83,CDM,,950,2,3,M \ H,53,50,77,71,79,82,"183cm | 6'0""",0,412,-,55,64,68,68,52,80,27
94,Javier Mascherano,83,CB,,1K,2,3,M \ H,69,59,70,69,84,80,"174cm | 5'8""",0,431,-,72,79,82,51,69,68,51
95,Dani Alves,83,RB,,4.1K,3,3,H \ L,86,70,79,83,76,68,"173cm | 5'8""",0,462,-,84,82,66,63,87,67,60
96,João Moutinho,83,CM,,1.2K,3,4,M \ M,74,75,83,82,71,72,"171cm | 5'7""",0,457,-,84,85,67,78,69,84,72
97,Ezequiel Garay,83,CB,,800,2,3,M \ M,52,57,68,64,86,78,"188cm | 6'2""",0,405,-,57,38,88,49,54,63,48
98,Miranda,83,CB,,1.5K,2,3,M \ M,76,49,56,57,84,79,"186cm | 6'1""",0,401,-,67,58,86,43,77,53,43
99,Blaise Matuidi,83,CDM,,900,2,3,H \ H,78,67,76,76,84,82,"175cm | 5'8""",0,463,-,81,79,84,70,79,74,65
100,Ivan Rakitic,83,CAM,,1.6K,3,3,M \ M,69,82,87,81,55,67,"184cm | 6'0""",0,441,-,72,66,51,80,69,87,80
101,Mario Mandžukić,83,ST,,1K,3,3,H \ H,75,82,61,75,43,87,"187cm | 6'1""",0,423,-,76,50,25,84,76,53,85
102,Pedro,83,LW,,2.4K,4,5,H \ M,84,76,78,84,37,60,"169cm | 5'6""",0,419,-,84,82,30,85,83,75,80
103,Isco,83,CAM,,1.4K,4,3,H \ L,76,76,82,86,32,62,"176cm | 5'9""",0,414,-,86,84,25,79,74,85,76
104,Aaron Ramsey,83,CM,,800,3,3,H \ H,71,78,79,80,70,77,"177cm | 5'9""",0,455,-,74,75,65,84,69,81,77
105,Christian Eriksen,83,LM,,1.4K,4,5,H \ M,81,72,83,83,47,55,"177cm | 5'9""",0,421,-,78,79,42,73,78,85,70
106,Ilkay Gündogan,83,CM,,950,4,4,H \ M,80,70,83,86,67,70,"180cm | 5'10""",0,456,-,86,84,58,73,78,86,65
107,Jesús Navas,83,RM,,1.2K,4,3,M \ M,91,71,78,84,29,53,"170cm | 5'6""",0,406,-,91,87,27,78,90,79,67
108,Edin Dzeko,83,ST,,1K,3,4,M \ M,71,84,69,78,36,71,"193cm | 6'3""",0,409,-,58,59,25,84,72,75,84
109,Daniel Sturridge,83,ST,,3.2K,4,2,M \ L,89,82,69,81,29,70,"183cm | 6'0""",0,420,-,78,64,25,84,90,74,85
110,Jefferson Farfán,83,RM,,1.3K,3,3,M \ L,87,77,80,84,37,76,"178cm | 5'10""",0,441,-,77,80,25,81,87,79,77
111,Negredo,83,ST,,900,3,3,H \ H,74,83,68,77,35,82,"186cm | 6'1""",0,419,-,,,,,,,
112,John Terry,83,CB,,950,2,4,M \ H,41,47,56,52,84,80,"187cm | 6'1""",0,360,-,44,46,83,38,47,59,46
113,Per Mertesacker,83,CB,,1.4K,2,3,M \ M,34,41,57,48,87,76,"198cm | 6'5""",0,343,-,29,28,87,43,38,58,36
114,Hulk,83,RW,,2.8K,4,2,H \ M,82,87,79,81,43,86,"180cm | 5'10""",0,458,-,72,59,33,83,81,76,85
115,Nemanja Vidic,83,CB,,900,2,3,M \ H,52,39,55,51,84,83,"190cm | 6'2""",0,364,-,50,47,84,25,55,55,36
116,Andrea Barzagli,83,CB,,1.3K,2,3,L \ H,75,36,58,59,86,79,"186cm | 6'1""",0,393,-,59,60,87,37,75,56,30
117,Marek Hamšik,83,CAM,,950,3,4,H \ M,74,78,82,82,58,71,"183cm | 6'0""",0,445,-,80,64,56,84,74,83,78
118,Claudio Marchisio,83,CM,,1.9K,4,4,H \ H,79,76,81,83,74,79,"179cm | 5'10""",0,472,-,83,78,67,81,79,83,74
119,Antonio Candreva,83,RW,,1.3K,4,4,H \ M,85,79,82,84,57,74,"181cm | 5'11""",0,461,-,78,76,51,77,84,83,72
120,Stéphane Ruffier,83,GK,,800,1,3,M \ M,82,80,77,86,55,82,"188cm | 6'2""",0,462,-,54,55,25,25,54,25,25
121,Roman Weidenfeller,83,GK,,1.1K,1,1,M \ M,82,84,61,82,32,85,"188cm | 6'2""",0,426,-,39,36,25,25,33,25,25
122,Claudio Bravo,83,GK,,1.5K,1,3,M \ M,85,82,85,86,58,78,"185cm | 6'0""",0,474,-,64,64,25,25,54,25,25
123,De Gea,83,GK,,800,1,3,M \ M,87,75,86,88,51,76,"193cm | 6'3""",0,463,-,57,43,25,25,55,25,25
124,Diego López,83,GK,,1K,1,3,M \ M,80,86,82,80,34,82,"196cm | 6'5""",0,444,-,48,47,25,25,52,25,25
125,Samir Handanovic,83,GK,,1K,1,2,M \ M,87,82,65,85,57,81,"193cm | 6'3""",0,457,-,49,41,25,25,57,25,25
126,Juan Cuadrado,83,RM,,4.6K,5,3,H \ M,93,77,76,87,57,71,"176cm | 5'9""",0,461,-,90,77,54,78,94,68,75
127,Pablo Zabaleta,83,RB,,2.8K,3,3,H \ H,75,52,76,76,84,83,"178cm | 5'10""",0,446,-,73,73,84,71,75,70,41
128,Joe Hart,83,GK,,2K,1,3,M \ M,85,78,80,86,60,80,"196cm | 6'5""",0,469,-,25,32,25,25,61,25,25
129,Nemanja Matic,83,CDM,,1.1K,3,3,M \ H,68,70,77,75,82,87,"194cm | 6'4""",0,459,-,53,53,80,70,69,78,64
130,Carlos Vela,83,RW,,2.2K,4,2,H \ L,87,79,76,85,31,66,"177cm | 5'9""",0,424,-,87,78,26,85,86,78,84
131,Gianluigi Buffon,83,GK,,1.6K,1,2,M \ M,85,78,65,78,45,90,"191cm | 6'3""",0,441,-,51,49,25,25,33,25,25
132,Lucas,83,RW,,3K,4,3,M \ M,93,74,78,87,45,65,"172cm | 5'7""",0,442,-,93,86,40,76,91,78,70
133,Kevin De Bruyne,83,CAM,,2.2K,4,5,H \ M,79,81,83,83,42,70,"181cm | 5'11""",0,438,-,80,78,38,83,80,83,79
134,Antoine Griezmann,83,LW,,2.1K,4,3,H \ M,86,80,76,84,30,69,"176cm | 5'9""",0,425,-,89,71,23,89,86,74,83
135,Mario Mandžukic,83,ST,,800,3,3,H \ H,75,82,61,75,43,87,"187cm | 6'1""",0,423,-,76,50,25,84,76,53,85
136,Miranda,83,CB,,1.8K,2,3,M \ M,76,49,56,57,84,79,"186cm | 6'1""",0,401,-,67,58,86,43,77,53,43
137,Juan Cuadrado,83,RM,,0,5,3,H \ M,93,77,76,87,57,71,"176cm | 5'9""",0,461,-,90,77,54,78,94,68,75
138,Edin Dzeko,83,ST,,1.3K,3,4,M \ M,71,84,69,78,36,71,"193cm | 6'3""",0,409,-,58,59,25,84,72,75,84
139,Pedro,83,LW,,0,4,5,H \ M,84,76,78,84,37,60,"169cm | 5'6""",0,419,-,84,82,30,85,83,75,80
140,Filipe Luís,82,LB,,2.9K,3,3,H \ M,82,62,76,78,81,77,"182cm | 5'11""",0,456,-,74,60,83,71,85,70,59
141,Lucas,82,RW,,2.8K,4,3,M \ M,93,73,76,87,44,63,"172cm | 5'7""",0,436,-,93,86,39,75,91,76,69
142,David Luiz,82,CB,,950,3,3,H \ M,77,64,72,72,80,78,"189cm | 6'2""",0,443,-,75,56,78,49,78,68,56
143,Thiago Motta,82,CDM,,1K,3,4,M \ M,50,66,78,73,78,84,"187cm | 6'1""",0,429,-,50,50,72,65,52,77,54
144,Ezequiel Lavezzi,82,LW,,800,4,4,H \ M,87,76,75,85,32,73,"173cm | 5'8""",0,428,-,94,92,20,77,88,78,76
145,Alex,82,CB,,900,2,3,M \ M,55,64,53,54,84,83,"188cm | 6'2""",0,393,-,44,42,84,33,56,45,50
146,Mario Gomez,82,ST,,850,2,4,M \ M,75,82,60,70,30,79,"189cm | 6'2""",0,396,-,64,55,25,88,78,62,86
147,Steven Gerrard,82,CDM,,2.2K,3,3,M \ M,63,83,85,75,70,81,"183cm | 6'0""",0,457,-,59,60,64,82,64,84,79
148,Hernanes,82,CM,,2K,4,5,M \ M,71,81,83,84,63,73,"180cm | 5'10""",0,455,-,78,81,51,77,72,85,76
149,Nemanja Matic,82,CDM,,1.6K,3,3,M \ H,67,70,76,75,80,85,"194cm | 6'4""",0,453,-,53,53,78,70,68,77,64
150,Borja Valero,82,CM,,950,3,4,M \ M,71,74,85,81,65,67,"175cm | 5'8""",0,443,-,78,78,59,75,68,87,71
151,Danny,82,LW,,1.2K,4,4,M \ L,85,76,81,84,33,56,"178cm | 5'10""",0,415,-,84,75,23,82,85,84,79
152,Lukasz Piszczek,82,RB,,3K,3,3,H \ H,81,67,73,74,80,82,"184cm | 6'0""",0,457,-,68,67,76,73,84,66,64
153,Seydou Doumbia,82,ST,,2.6K,4,4,H \ M,93,82,68,82,38,73,"178cm | 5'10""",0,436,-,70,70,33,85,94,77,86
154,Giuseppe Rossi,82,ST,,950,3,3,H \ M,84,83,74,84,28,52,"173cm | 5'8""",0,405,-,84,86,25,87,82,77,85
155,Carlos Vela,82,RW,,1.9K,4,2,H \ L,86,77,74,85,30,65,"177cm | 5'9""",0,417,-,87,78,25,83,85,76,82
156,Marcelo,82,LB,,5.1K,3,3,H \ M,81,67,78,84,77,79,"174cm | 5'8""",0,466,-,79,84,74,67,83,70,64
157,Fernandinho,82,CM,,3K,3,4,M \ H,78,74,82,81,73,75,"176cm | 5'9""",0,463,-,79,79,70,68,78,84,70
158,Koke,82,LM,,800,3,4,H \ H,75,72,85,81,53,73,"178cm | 5'10""",0,439,-,78,77,50,76,74,88,68
159,Antoine Griezmann,82,LW,,2K,4,3,H \ M,85,77,76,83,30,68,"176cm | 5'9""",0,419,-,88,70,23,86,85,74,80
160,Dante,82,CB,,1.4K,3,3,M \ M,64,56,72,71,83,76,"188cm | 6'2""",0,422,-,68,63,82,44,65,66,48
161,Sokratis,82,CB,,1.1K,2,3,M \ M,78,52,61,65,84,82,"185cm | 6'0""",0,422,-,66,75,85,52,81,55,45
162,Neven Subotic,82,CB,,1K,2,3,M \ M,71,57,58,57,83,79,"193cm | 6'3""",0,405,-,66,66,83,48,75,46,44
163,Benedikt Höwedes,82,CB,,700,2,3,M \ M,66,50,65,65,83,78,"187cm | 6'1""",0,407,-,65,60,83,51,68,60,53
164,Dries Mertens,82,CAM,,1.2K,4,4,H \ M,88,77,80,87,37,53,"169cm | 5'6""",0,422,-,93,92,30,76,85,82,76
165,Willian,82,RM,,1.3K,4,4,H \ H,89,73,78,87,50,63,"175cm | 5'8""",0,440,-,87,82,43,77,86,80,75
166,Luiz Gustavo,82,CDM,,900,2,3,M \ H,74,58,72,73,83,82,"187cm | 6'1""",0,442,-,73,65,79,51,73,68,45
167,Jackson Martínez,82,ST,,1K,4,4,H \ M,82,81,66,78,43,85,"185cm | 6'0""",0,435,-,78,70,27,85,85,71,86
168,Mario Balotelli,82,ST,,800,4,4,L \ L,82,82,68,81,30,79,"188cm | 6'2""",0,422,-,78,54,24,81,82,71,82
169,Jakub Blaszczykowski,82,RM,,1.1K,3,4,M \ M,87,74,79,83,58,72,"175cm | 5'8""",0,453,-,83,85,55,80,87,80,70
170,Jan Vertonghen,82,CB,,1.6K,3,3,H \ M,72,67,74,69,82,81,"189cm | 6'2""",0,445,-,68,55,79,65,75,72,60
171,Diego,82,CAM,,1.3K,4,4,H \ M,75,73,84,85,39,64,"173cm | 5'8""",0,420,-,86,84,35,70,74,85,69
172,Pablo Zabaleta,82,RB,,1.3K,3,3,H \ H,74,52,74,75,83,82,"178cm | 5'10""",0,440,-,72,72,83,71,74,68,41
173,David Alaba,82,LB,,14.25K,3,4,H \ M,86,70,81,82,79,72,"180cm | 5'10""",0,470,-,86,77,78,76,86,77,63
174,Leighton Baines,82,LB,,2.1K,3,3,H \ M,77,74,81,77,80,74,"170cm | 5'6""",0,463,-,74,85,80,74,79,75,70
175,Filipe Luís,82,LB,,900,3,3,H \ M,82,62,76,78,81,77,"182cm | 5'11""",0,456,-,74,60,83,71,85,70,59
176,Steve Mandanda,82,GK,,850,1,3,M \ M,83,78,79,82,53,80,"185cm | 6'0""",0,455,-,52,36,25,25,43,25,25
177,Gianluigi Buffon,82,GK,,1.7K,1,2,M \ M,84,77,65,75,45,90,"191cm | 6'3""",0,436,-,51,49,25,25,33,25,25
178,René Adler,82,GK,,1K,1,3,M \ M,85,79,72,85,46,80,"191cm | 6'3""",0,447,-,49,43,25,25,37,25,25
179,Bernd Leno,82,GK,,1.5K,1,3,M \ M,82,82,81,83,46,83,"190cm | 6'2""",0,457,-,52,44,25,25,52,25,25
180,Marc-André ter Stegen,82,GK,,1.4K,1,4,M \ M,83,81,82,85,38,78,"189cm | 6'2""",0,447,-,37,43,25,25,50,25,25
181,Fernando Muslera,82,GK,,1.9K,1,2,M \ M,80,82,80,87,63,80,"190cm | 6'2""",0,472,-,70,60,25,25,64,25,25
182,Júlio César,82,GK,,1K,1,3,M \ M,83,77,67,82,39,82,"186cm | 6'1""",0,430,-,69,56,25,25,41,25,25
183,Tim Howard,82,GK,,1K,1,3,M \ M,84,77,76,83,50,82,"191cm | 6'3""",0,452,-,48,50,25,25,48,25,25
184,Joe Hart,82,GK,,1.4K,1,3,M \ M,85,76,79,86,59,79,"196cm | 6'5""",0,464,-,25,32,25,25,60,25,25
185,Simon Mignolet,82,GK,,1.2K,1,2,M \ M,84,79,72,84,55,80,"193cm | 6'3""",0,454,-,28,42,25,25,59,25,25
186,Asmir Begovic,82,GK,,1.5K,1,2,M \ M,84,81,74,85,52,80,"200cm | 6'6""",0,456,-,53,41,25,25,58,25,25
187,Seydou Doumbia,82,ST,,2.3K,4,4,H \ M,93,82,68,82,38,73,"178cm | 5'10""",0,436,-,70,70,33,85,94,77,86
188,Laurent Koscielny,82,CB,,1.8K,2,3,M \ H,82,40,63,65,84,77,"186cm | 6'1""",0,411,-,70,62,83,31,83,57,32
189,Stevan Jovetic,82,ST,,1.3K,4,4,H \ M,79,83,79,83,38,72,"183cm | 6'0""",0,434,-,83,62,27,84,80,81,84
