,Name,Rat,Position,Version,Price,Skils,Weak_Foot,WR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Age,Weight,Aggression,Balance,Ball_Control,Jumping,Long_Passing,Stamina
22,Ribéry,87,LM,,13.25K,5,4,H \ M,87,77,84,91,25,61,"170cm | 5'6""",0,425,-,38,72kg,52,91,91,50,73,69
23,Cesc Fàbregas,87,CM,,5.1K,3,3,H \ M,68,78,90,81,64,65,"175cm | 5'8""",0,446,-,34,74kg,45,77,87,68,92,83
24,Bale,87,RM,,56.5K,4,3,H \ M,94,83,83,84,63,80,"183cm | 6'0""",3,487,-,32,74kg,77,65,85,67,80,89
25,Özil,87,CAM,,9.3K,4,2,M \ L,72,74,85,86,24,57,"183cm | 6'0""",-2,398,-,33,76kg,54,70,90,52,80,64
26,Modric,87,CM,,13K,4,4,H \ M,76,74,84,89,71,68,"174cm | 5'8""",3,462,-,36,65kg,62,94,92,67,83,86
27,Kroos,87,CM,,5.2K,3,5,M \ M,56,81,88,82,66,69,"182cm | 5'11""",0,442,-,31,78kg,54,62,86,54,89,77
28,Boateng,87,CB,,9.3K,2,4,M \ M,79,50,69,68,87,84,"192cm | 6'3""",0,437,-,33,90kg,82,54,73,76,74,75
29,Lewandowski,87,ST,,15K,3,4,M \ M,80,85,74,84,38,80,"185cm | 6'0""",0,441,-,33,79kg,80,78,87,83,65,79
30,Rodríguez,87,CAM,,9.8K,4,3,M \ M,78,86,84,85,40,72,"180cm | 5'10""",1,445,-,30,75kg,74,74,85,55,80,74
31,Rodríguez,87,LM,,17K,4,3,M \ M,78,86,84,85,40,72,"180cm | 5'10""",0,445,-,30,75kg,74,74,85,55,80,74
32,Bale,87,ST,,110K,4,3,H \ M,94,83,83,84,63,80,"183cm | 6'0""",0,487,-,32,74kg,77,65,85,67,80,89
33,Rooney,86,ST,,6.2K,3,4,M \ H,75,86,81,81,47,87,"176cm | 5'9""",2,457,-,36,83kg,89,77,85,81,85,89
34,Schweinsteiger,86,CM,,1.8K,3,3,H \ H,52,79,84,79,76,78,"183cm | 6'0""",0,448,-,37,79kg,80,61,83,83,87,76
35,Tévez,86,ST,,1.8K,3,3,H \ H,87,88,76,88,45,84,"173cm | 5'8""",0,468,-,37,75kg,86,91,90,77,61,91
36,Benzema,86,ST,,6.9K,4,4,M \ L,83,84,75,81,22,74,"187cm | 6'1""",1,419,-,34,79kg,65,60,86,70,47,76
37,Hummels,86,CB,,4.3K,2,3,H \ M,64,58,74,70,88,77,"191cm | 6'3""",1,431,-,33,92kg,71,58,77,70,84,67
38,Diego Costa,86,ST,,6.3K,3,4,H \ M,82,83,63,79,40,88,"188cm | 6'2""",0,435,-,33,85kg,90,52,82,60,48,85
39,Vidal,86,CM,,5.2K,3,4,H \ H,77,79,80,81,83,83,"180cm | 5'10""",0,483,-,34,75kg,90,77,83,82,80,93
40,Sánchez,86,LW,,16.5K,4,3,H \ H,87,83,78,88,39,73,"169cm | 5'6""",0,448,-,33,62kg,80,87,87,72,73,86
41,Reus,86,LM,,19K,4,4,M \ M,90,84,85,86,39,64,"180cm | 5'10""",1,448,-,32,75kg,47,82,85,70,79,73
42,Sergio Busquets,86,CDM,,2.3K,3,3,M \ M,53,59,77,74,83,80,"189cm | 6'2""",0,426,-,33,76kg,86,55,83,66,81,86
43,Müller,86,CF,,3.6K,3,4,H \ H,77,84,80,79,46,72,"186cm | 6'1""",0,438,-,32,75kg,57,73,81,81,77,90
44,Courtois,86,GK,,2.9K,1,3,M \ M,84,87,69,88,46,86,"199cm | 6'6""",0,460,-,29,88kg,23,45,23,68,31,38
45,De Gea,86,GK,,9K,1,3,M \ M,88,81,86,89,51,83,"193cm | 6'3""",0,478,-,31,82kg,38,43,31,67,32,25
46,Pogba,86,CM,,39.75K,4,4,H \ M,77,80,82,86,74,88,"188cm | 6'2""",1,487,-,28,80kg,80,61,89,85,81,87
47,De Bruyne,86,CAM,,17.25K,4,5,H \ M,77,83,86,84,40,75,"181cm | 5'11""",1,445,-,30,76kg,69,78,89,66,83,87
48,Godín,86,CB,,1.6K,2,3,M \ H,70,49,64,62,88,80,"185cm | 6'0""",0,413,-,35,73kg,86,58,73,87,70,74
49,Cech,86,GK,,1.2K,1,3,M \ M,83,84,77,85,48,85,"196cm | 6'5""",0,462,-,39,90kg,17,34,32,38,33,32
50,Di María,86,RW,,7.5K,4,2,H \ M,88,80,85,87,50,71,"180cm | 5'10""",1,461,-,33,75kg,77,79,87,73,82,79
51,Higuaín,86,ST,,3.7K,3,4,H \ M,81,86,68,82,24,73,"184cm | 6'0""",0,414,-,34,82kg,51,60,85,75,55,70
52,Sánchez,86,ST,,60K,4,3,H \ H,87,83,78,88,39,73,"169cm | 5'6""",0,448,-,33,62kg,80,87,87,72,73,86
53,Müller,86,RM,,5.8K,3,4,H \ H,77,84,80,79,46,72,"186cm | 6'1""",1,438,-,32,75kg,57,73,81,81,77,90
54,Di María,86,LW,,28.25K,4,2,H \ M,88,80,85,87,50,71,"180cm | 5'10""",0,461,-,33,75kg,77,79,87,73,82,79
55,Hummels,86,CB,,6K,2,3,H \ M,64,58,74,70,88,77,"191cm | 6'3""",0,431,-,33,92kg,71,58,77,70,84,67
56,Higuaín,86,ST,,6.6K,3,4,H \ M,81,86,68,82,24,73,"184cm | 6'0""",1,414,-,34,82kg,51,60,85,75,55,70
57,Pogba,86,CM,,173K,4,4,H \ M,77,80,82,86,74,88,"188cm | 6'2""",1,487,-,28,80kg,80,61,89,85,81,87
58,Terry,85,CB,,850,2,4,M \ H,34,47,57,52,87,81,"187cm | 6'1""",0,358,-,41,90kg,88,46,63,78,64,67
59,Touré,85,CM,,7.5K,3,4,M \ L,76,83,81,79,70,86,"189cm | 6'2""",0,475,-,38,90kg,78,55,83,65,83,86
60,Cech,85,GK,,1.2K,1,3,M \ M,83,84,73,84,45,83,"196cm | 6'5""",0,452,-,39,90kg,17,34,32,38,33,32
61,Kompany,85,CB,,1.9K,2,3,M \ M,69,54,62,65,86,81,"192cm | 6'3""",0,417,-,35,85kg,81,42,68,73,66,70
62,Santi Cazorla,85,CAM,,1.5K,4,5,M \ M,73,78,85,87,56,64,"168cm | 5'6""",0,443,-,37,66kg,60,91,86,71,84,72
63,Piqué,85,CB,,1.8K,2,3,H \ M,64,54,67,60,86,76,"193cm | 6'3""",0,407,-,34,85kg,68,44,76,74,80,69
64,Naldo,85,CB,,850,2,4,H \ M,73,69,64,63,88,76,"198cm | 6'5""",0,433,-,39,89kg,76,42,69,48,70,62
65,Cavani,85,ST,,1.1K,3,3,H \ H,76,83,71,81,42,80,"184cm | 6'0""",0,433,-,34,71kg,82,59,83,88,50,90
66,Godín,85,CB,,1.6K,2,3,M \ H,70,48,63,62,87,78,"185cm | 6'0""",0,408,-,35,73kg,84,58,73,85,69,73
67,Di María,85,CAM,,6.7K,4,2,H \ M,88,79,83,86,49,70,"180cm | 5'10""",0,455,-,33,75kg,76,79,86,72,81,78
68,Alaba,85,LB,,14K,3,4,H \ M,86,72,81,83,84,72,"180cm | 5'10""",0,478,-,29,76kg,69,77,84,82,80,88
69,Lloris,85,GK,,1.3K,1,1,M \ M,87,83,69,88,65,82,"188cm | 6'2""",0,474,-,34,78kg,31,54,34,74,31,41
70,Rakitic,85,CM,,2K,3,3,M \ M,68,83,87,82,59,67,"184cm | 6'0""",0,446,-,33,78kg,67,66,87,52,93,79
71,Miranda,85,CB,,950,2,3,M \ M,76,49,57,62,88,81,"186cm | 6'1""",0,413,-,37,76kg,89,63,69,87,66,71
72,Alaba,85,CDM,,35K,3,4,H \ M,86,72,81,83,84,72,"180cm | 5'10""",0,478,-,29,76kg,69,77,84,82,80,88
73,Naldo,85,CB,,950,2,4,H \ M,73,69,64,63,88,76,"198cm | 6'5""",0,433,-,39,89kg,76,42,69,48,70,62
74,Buffon,84,GK,,1.2K,1,2,M \ M,85,79,71,83,49,89,"191cm | 6'3""",0,456,-,43,83kg,38,49,29,75,35,39
75,Casillas,84,GK,,850,1,2,M \ M,87,79,67,88,65,79,"185cm | 6'0""",0,465,-,40,84kg,23,46,26,77,22,43
76,Pirlo,84,CM,,800,2,4,L \ L,41,71,93,81,54,58,"177cm | 5'9""",0,398,-,42,68kg,56,83,90,33,94,61
77,van Persie,84,ST,,850,4,3,M \ L,67,86,81,81,33,67,"187cm | 6'1""",0,415,-,38,71kg,55,59,84,59,75,68
78,Gerrard,84,CM,,950,3,3,M \ M,54,82,86,75,69,80,"183cm | 6'0""",0,446,-,41,83kg,85,60,82,71,87,74
79,Xabi Alonso,84,CDM,,1.1K,2,4,L \ M,33,69,88,77,76,70,"183cm | 6'0""",0,413,-,40,80kg,78,67,84,46,93,62
80,Pepe,84,CB,,1.4K,2,3,M \ H,73,50,58,59,86,83,"188cm | 6'2""",0,409,-,38,81kg,94,58,57,76,60,75
81,Barzagli,84,CB,,950,2,3,L \ H,75,36,55,59,88,77,"186cm | 6'1""",0,390,-,40,79kg,76,69,65,83,65,65
82,Sneijder,84,CAM,,800,3,5,M \ L,75,80,86,84,45,62,"170cm | 5'6""",0,432,-,37,72kg,65,85,86,51,87,65
83,Dani Alves,84,RB,,4K,3,3,H \ L,86,70,76,83,78,69,"172cm | 5'7""",0,462,-,38,70kg,85,82,85,78,76,79
84,Higuaín,84,ST,,2.5K,3,4,H \ M,80,84,68,81,22,71,"184cm | 6'0""",1,406,-,34,82kg,50,60,84,73,55,69
85,Lloris,84,GK,,1.4K,1,1,M \ M,86,82,68,88,65,81,"188cm | 6'2""",0,470,-,34,78kg,31,54,34,74,31,41
86,Miranda,84,CB,,850,2,3,M \ M,76,49,56,57,86,80,"186cm | 6'1""",0,404,-,37,76kg,88,58,64,86,65,71
87,Rakitic,84,CM,,2K,3,3,M \ M,68,82,86,82,56,67,"184cm | 6'0""",0,441,-,33,78kg,67,66,87,52,92,79
88,Matuidi,84,CDM,,950,2,3,H \ H,75,67,77,75,83,81,"175cm | 5'8""",1,458,-,34,70kg,84,79,77,83,79,94
89,Marchisio,84,CM,,1.2K,4,4,H \ H,81,74,82,83,77,78,"179cm | 5'10""",0,475,-,35,76kg,84,77,85,69,83,89
90,Benatia,84,CB,,1K,2,3,M \ M,65,44,54,61,86,83,"190cm | 6'2""",0,393,-,34,92kg,84,47,66,79,62,75
91,Javi Martinez,84,CB,,850,2,3,M \ M,52,61,71,65,84,79,"190cm | 6'2""",0,412,-,33,81kg,88,58,71,70,76,62
92,Juan Mata,84,RM,,1.2K,4,3,M \ M,71,75,84,87,27,55,"170cm | 5'6""",0,399,-,33,63kg,52,89,88,72,78,79
93,Pjanic,84,CM,,950,3,4,M \ M,72,75,85,84,63,66,"180cm | 5'10""",1,445,-,31,74kg,67,78,89,66,85,76
94,Oscar,84,CAM,,1.4K,4,3,M \ H,79,75,81,84,43,46,"179cm | 5'10""",0,408,-,30,67kg,31,80,85,66,82,76
95,Coutinho,84,CAM,,2.3K,4,4,H \ M,82,74,81,87,33,56,"171cm | 5'7""",0,413,-,29,68kg,35,91,88,59,78,73
96,Jordi Alba,84,LB,,2.2K,3,3,H \ M,92,69,74,81,80,76,"170cm | 5'6""",0,472,-,32,68kg,77,87,80,81,70,92
97,Hulk,84,RW,,1.2K,4,3,H \ M,85,87,81,82,43,86,"180cm | 5'10""",1,464,-,35,85kg,84,59,84,72,78,84
98,Pastore,84,CM,,1K,4,4,H \ M,74,77,84,86,58,68,"187cm | 6'1""",0,447,-,32,78kg,65,58,87,49,83,75
99,Matic,84,CDM,,950,3,3,M \ H,67,70,77,75,82,88,"194cm | 6'4""",0,459,-,33,84kg,83,53,79,71,81,90
100,Götze,84,CAM,,1.5K,4,4,M \ M,72,73,81,89,32,62,"176cm | 5'9""",0,409,-,29,72kg,48,84,90,70,75,68
101,Otamendi,84,CB,,1.5K,2,3,M \ M,75,56,56,54,86,82,"183cm | 6'0""",0,409,-,33,81kg,85,62,60,90,66,78
102,Leno,84,GK,,950,1,4,M \ M,84,84,81,85,46,83,"190cm | 6'2""",0,463,-,29,82kg,28,44,28,73,33,43
103,Lacazette,84,ST,,2.1K,4,4,H \ M,88,85,74,85,34,73,"175cm | 5'8""",1,439,-,30,73kg,70,84,84,78,68,74
104,Martínez,84,ST,,1.7K,4,4,H \ M,81,82,67,79,44,85,"185cm | 6'0""",1,438,-,35,85kg,83,58,82,85,63,82
105,Isco,84,CAM,,1.6K,4,3,H \ M,75,75,80,87,32,63,"176cm | 5'9""",0,412,-,29,74kg,58,84,89,64,78,75
106,Verratti,84,CM,,1.2K,4,4,H \ H,68,58,83,87,78,69,"165cm | 5'4""",1,443,-,29,60kg,89,94,85,64,87,80
107,Aubameyang,84,ST,,3.6K,3,3,H \ L,96,83,75,80,37,71,"187cm | 6'1""",0,442,-,32,80kg,45,66,80,76,64,79
108,Hart,84,GK,,1.1K,1,3,M \ M,85,81,76,88,59,84,"196cm | 6'5""",0,473,-,34,91kg,28,32,20,72,35,28
109,Handanovic,84,GK,,950,1,2,M \ M,87,81,65,87,55,87,"193cm | 6'3""",0,462,-,37,89kg,25,36,29,78,34,41
110,Koscielny,84,CB,,1.8K,2,3,M \ H,78,40,62,66,85,78,"186cm | 6'1""",0,409,-,36,75kg,90,62,68,89,67,75
111,Griezmann,84,ST,,5.5K,4,3,H \ M,86,83,78,85,29,68,"176cm | 5'9""",0,429,-,30,67kg,69,70,82,79,75,75
112,Juan Mata,84,LW,,2.4K,4,3,M \ M,71,75,84,87,27,55,"170cm | 5'6""",0,399,-,33,63kg,52,89,88,72,78,79
113,Hulk,84,ST,,15.5K,4,3,H \ M,85,87,81,82,43,86,"180cm | 5'10""",0,464,-,35,85kg,84,59,84,72,78,84
114,Griezmann,84,RW,,19.75K,4,3,H \ M,86,83,78,85,29,68,"176cm | 5'9""",0,429,-,30,67kg,69,70,82,79,75,75
115,Dani Alves,84,RB,,7.7K,3,3,H \ L,86,70,76,83,78,69,"172cm | 5'7""",0,462,-,38,70kg,85,82,85,78,76,79
116,Pjanic,84,CM,,950,3,4,M \ M,72,75,85,84,63,66,"180cm | 5'10""",-1,445,-,31,74kg,67,78,89,66,85,76
117,Benatia,84,CB,,1.1K,2,3,M \ M,65,44,54,61,86,83,"190cm | 6'2""",0,393,-,34,92kg,84,47,66,79,62,75
118,Götze,84,LM,,1.5K,4,4,M \ M,72,73,81,89,32,62,"176cm | 5'9""",0,409,-,29,72kg,48,84,90,70,75,68
119,Hart,84,GK,,1.3K,1,3,M \ M,85,81,76,88,59,84,"196cm | 6'5""",0,473,-,34,91kg,28,32,20,72,35,28
120,De Rossi,83,CDM,,750,2,4,M \ H,68,66,74,72,82,84,"185cm | 6'0""",0,446,-,38,83kg,84,72,78,78,80,84
121,Mertesacker,83,CB,,750,2,3,M \ M,31,41,57,48,88,75,"198cm | 6'5""",0,340,-,37,90kg,69,28,65,33,58,64
122,Mathieu,83,CB,,850,2,2,H \ M,76,64,66,55,84,82,"189cm | 6'2""",0,427,-,38,84kg,81,50,65,72,76,69
123,Vidic,83,CB,,900,2,3,L \ H,52,33,48,50,85,80,"190cm | 6'2""",0,348,-,40,88kg,85,47,58,85,57,52
124,Mascherano,83,CB,,950,2,3,M \ H,68,59,70,69,85,80,"174cm | 5'8""",0,431,-,37,73kg,89,79,82,75,75,87
125,Turan,83,RM,,950,4,4,H \ H,75,74,82,87,63,73,"177cm | 5'9""",1,454,-,34,76kg,78,72,90,79,79,76
126,Hart,83,GK,,1K,1,3,M \ M,85,78,76,86,59,80,"196cm | 6'5""",0,464,-,34,91kg,28,32,20,72,35,28
127,João Moutinho,83,CAM,,750,3,4,M \ M,71,76,83,82,71,71,"170cm | 5'6""",0,454,-,35,61kg,77,84,84,81,83,91
128,Handanovic,83,GK,,850,1,2,M \ M,87,79,65,86,54,86,"193cm | 6'3""",0,457,-,37,89kg,25,36,29,78,34,41
129,Baines,83,LB,,1.3K,3,3,H \ M,75,75,81,77,82,74,"170cm | 5'6""",1,464,-,37,70kg,74,85,76,72,74,86
130,Mandanda,83,GK,,1.1K,1,3,M \ M,85,78,79,84,53,81,"185cm | 6'0""",0,460,-,36,82kg,37,36,12,74,28,31
131,Cahill,83,CB,,900,2,3,M \ M,73,58,52,62,86,76,"193cm | 6'3""",0,407,-,36,86kg,78,51,64,82,61,68
132,Koscielny,83,CB,,1.7K,2,3,M \ H,78,40,62,65,84,75,"186cm | 6'1""",0,404,-,36,75kg,87,62,67,86,67,73
133,Nasri,83,LM,,1.4K,4,4,H \ M,81,76,83,86,38,58,"175cm | 5'8""",0,422,-,34,75kg,33,92,88,50,77,72
134,Diego Alves,83,GK,,750,1,2,M \ M,88,76,76,88,55,77,"188cm | 6'2""",0,460,-,36,83kg,44,57,25,84,33,43
135,Falcao,83,ST,,1.1K,4,4,H \ M,72,82,64,79,37,73,"177cm | 5'9""",0,407,-,35,72kg,70,75,83,92,53,71
136,Ruffier,83,GK,,750,1,3,M \ M,83,81,77,86,55,83,"188cm | 6'2""",0,465,-,35,90kg,31,55,26,72,34,37
137,Garay,83,CB,,800,2,3,M \ M,52,57,68,64,87,78,"188cm | 6'2""",0,406,-,35,80kg,74,38,73,71,75,70
138,Sturridge,83,ST,,2.2K,3,2,M \ L,89,83,69,81,25,70,"188cm | 6'2""",0,417,-,32,76kg,60,64,81,74,62,72
139,Hamšik,83,CAM,,750,3,4,H \ M,74,77,81,82,58,70,"183cm | 6'0""",0,442,-,34,79kg,61,63,85,72,75,78
140,Sokratis,83,CB,,800,2,3,M \ M,75,53,57,60,86,83,"186cm | 6'1""",0,414,-,33,85kg,88,67,59,84,64,74
141,Candreva,83,RW,,1.1K,3,4,H \ M,86,81,82,85,45,74,"181cm | 5'11""",0,453,-,34,72kg,66,76,87,57,75,93
142,Bravo,83,GK,,1.1K,1,3,M \ M,83,82,84,86,58,78,"184cm | 6'0""",0,471,-,38,80kg,40,64,25,81,31,44
143,Marcelo,83,LB,,1.9K,3,4,H \ M,81,67,77,84,81,79,"174cm | 5'8""",0,469,-,33,75kg,86,84,86,77,76,81
144,Nainggolan,83,CM,,750,3,3,H \ H,80,78,79,81,80,84,"176cm | 5'9""",0,482,-,33,65kg,90,84,84,76,82,94
145,Höwedes,83,CB,,750,2,3,M \ M,65,47,63,65,84,78,"187cm | 6'1""",0,402,-,33,82kg,79,61,70,82,64,69
146,Khedira,83,CDM,,800,2,4,M \ H,62,70,73,70,83,86,"189cm | 6'2""",0,444,-,34,85kg,84,55,77,65,75,85
147,David Luiz,83,CB,,900,3,3,H \ M,73,64,73,73,82,77,"189cm | 6'2""",0,442,-,34,84kg,84,56,79,82,76,71
148,Mandžukic,83,ST,,900,3,3,H \ H,77,82,62,76,38,86,"187cm | 6'1""",0,421,-,35,84kg,88,55,79,87,41,81
149,Gaitán,83,LM,,1.4K,4,2,M \ M,83,74,83,86,40,57,"174cm | 5'8""",0,423,-,33,69kg,57,83,85,68,81,70
150,Bonucci,83,CB,,900,2,3,M \ H,70,50,66,67,85,81,"190cm | 6'2""",0,419,-,34,82kg,84,55,73,85,77,75
151,Luiz Gustavo,83,CDM,,800,2,3,M \ H,70,60,70,71,84,82,"187cm | 6'1""",0,437,-,34,80kg,88,62,76,75,78,83
152,Pedro,83,LW,,1.2K,4,5,H \ M,82,76,77,84,37,62,"167cm | 5'5""",0,418,-,34,62kg,56,82,85,67,74,78
153,Thiago,83,CM,,1.1K,4,3,M \ M,72,75,81,89,57,64,"174cm | 5'8""",0,438,-,30,70kg,67,85,88,72,83,69
154,Eriksen,83,CAM,,750,4,5,H \ M,77,75,84,83,44,59,"177cm | 5'9""",1,422,-,29,71kg,44,79,85,57,82,87
155,Rodriguez,83,LB,,800,3,3,H \ M,75,67,82,78,84,76,"181cm | 5'11""",0,462,-,29,77kg,79,73,80,75,78,78
156,Koke,83,CAM,,750,3,4,H \ H,74,72,85,81,53,73,"178cm | 5'10""",1,438,-,29,74kg,68,79,86,61,86,80
157,Griezmann,83,ST,,4.9K,4,3,H \ M,85,81,77,84,29,68,"176cm | 5'9""",0,424,-,30,67kg,69,70,82,79,75,75
158,Bellarabi,83,RM,,1K,4,3,H \ L,90,76,76,86,33,64,"183cm | 6'0""",0,425,-,31,80kg,49,78,84,75,66,76
159,Laporte,83,CB,,750,2,2,M \ M,73,37,59,60,86,78,"189cm | 6'2""",0,393,-,27,85kg,72,55,70,77,79,72
160,Mkhitaryan,83,RM,,1.3K,4,5,H \ H,86,75,79,87,55,71,"177cm | 5'9""",1,453,-,32,75kg,68,81,87,73,77,82
161,Gündogan,83,CM,,950,4,4,H \ M,75,71,84,86,65,74,"180cm | 5'10""",0,455,-,31,80kg,69,83,86,63,82,76
162,Jonas,83,ST,,800,3,4,H \ M,77,85,78,84,31,65,"181cm | 5'11""",0,420,-,37,74kg,59,67,89,65,62,74
163,Douglas Costa,83,RM,,4.6K,5,3,M \ L,91,77,79,86,50,64,"172cm | 5'7""",0,447,-,31,65kg,55,87,86,61,74,77
164,Manolas,83,CB,,900,3,2,M \ H,81,19,44,61,86,84,"186cm | 6'1""",0,375,-,30,79kg,88,61,66,88,63,80
165,Mascherano,83,CDM,,2K,2,3,M \ H,68,59,70,69,85,80,"174cm | 5'8""",0,431,-,37,73kg,89,79,82,75,75,87
166,Turan,83,LM,,4K,4,4,H \ H,75,74,82,87,63,73,"177cm | 5'9""",1,454,-,34,76kg,78,72,90,79,79,76
167,Falcao,83,ST,,900,4,4,H \ M,72,82,64,79,37,73,"177cm | 5'9""",0,407,-,35,72kg,70,75,83,92,53,71
168,Gündogan,83,CM,,3.5K,4,4,H \ M,75,71,84,86,65,74,"180cm | 5'10""",0,455,-,31,80kg,69,83,86,63,82,76
169,Mandanda,83,GK,,1.1K,1,3,M \ M,85,78,79,84,53,81,"185cm | 6'0""",0,460,-,36,82kg,37,36,12,74,28,31
170,Gaitán,83,LM,,1.4K,4,2,M \ M,83,74,83,86,40,57,"174cm | 5'8""",0,423,-,33,69kg,57,83,85,68,81,70
171,Mkhitaryan,83,RM,,5K,4,5,H \ H,86,75,79,87,55,71,"177cm | 5'9""",1,453,-,32,75kg,68,81,87,73,77,82
172,Candreva,83,RW,,1.6K,3,4,H \ M,86,81,82,85,45,74,"181cm | 5'11""",0,453,-,34,72kg,66,76,87,57,75,93
173,Garay,83,CB,,850,2,3,M \ M,52,57,68,64,87,78,"188cm | 6'2""",0,406,-,35,80kg,74,38,73,71,75,70
174,Bravo,83,GK,,1.2K,1,3,M \ M,83,82,84,86,58,78,"184cm | 6'0""",0,471,-,38,80kg,40,64,25,81,31,44
175,Nasri,83,LM,,1.4K,4,4,H \ M,81,76,83,86,38,58,"175cm | 5'8""",0,422,-,34,75kg,33,92,88,50,77,72
176,David Luiz,83,CB,,9.4K,3,3,H \ M,73,64,73,73,82,77,"189cm | 6'2""",0,442,-,34,84kg,84,56,79,82,76,71
177,Júlio César,82,GK,,900,1,3,M \ M,84,78,67,85,39,82,"186cm | 6'1""",0,435,-,42,79kg,37,56,35,75,31,35
178,Aduriz,82,ST,,850,3,3,M \ M,71,83,63,72,47,81,"182cm | 5'11""",0,417,-,40,78kg,83,58,78,96,47,74
179,Victor Valdés,82,GK,,750,1,3,M \ M,82,78,77,83,60,85,"183cm | 6'0""",0,465,-,39,78kg,36,53,27,80,36,34
180,Lichtsteiner,82,RB,,750,2,3,H \ H,83,60,72,75,80,79,"180cm | 5'10""",0,449,-,37,77kg,84,77,75,75,71,91
181,Nani,82,LM,,1.8K,5,4,M \ M,84,79,82,86,24,65,"175cm | 5'8""",0,420,-,35,66kg,58,79,86,51,83,77
182,Zabaleta,82,RB,,900,3,3,H \ H,73,56,70,75,85,83,"178cm | 5'10""",0,442,-,36,76kg,90,66,77,84,64,85
183,Diego López,82,GK,,750,1,3,M \ M,81,77,77,83,34,87,"196cm | 6'5""",0,439,-,40,87kg,36,47,23,68,23,42
184,Luisão,82,CB,,800,2,2,L \ M,39,53,59,57,85,76,"192cm | 6'3""",0,369,-,40,81kg,84,32,70,59,60,47
185,Huntelaar,82,ST,,900,3,4,M \ M,66,84,64,71,32,72,"186cm | 6'1""",0,389,-,38,83kg,65,62,76,77,44,68
