,Rat,Position,Skils,Weak_Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Weight,Aggression,Balance,Ball_Control,Jumping,Long_Passing,Stamina,Player_Height
21,87,CB,3,3,79,60,71,66,87,81,35,75,83.0,60.0,83.0,91.0,70.0,81.0,183
22,87,LM,5,4,87,77,84,91,25,61,38,72,52.0,91.0,91.0,50.0,73.0,69.0,170
23,87,CM,3,3,68,78,90,81,64,65,34,74,45.0,77.0,87.0,68.0,92.0,83.0,175
24,87,RM,4,3,94,83,83,84,63,80,32,74,77.0,65.0,85.0,67.0,80.0,89.0,183
25,87,CAM,4,2,72,74,85,86,24,57,33,76,54.0,70.0,90.0,52.0,80.0,64.0,183
26,87,CM,4,4,76,74,84,89,71,68,36,65,62.0,94.0,92.0,67.0,83.0,86.0,174
27,87,CM,3,5,56,81,88,82,66,69,31,78,54.0,62.0,86.0,54.0,89.0,77.0,182
28,87,CB,2,4,79,50,69,68,87,84,33,90,82.0,54.0,73.0,76.0,74.0,75.0,192
29,87,ST,3,4,80,85,74,84,38,80,33,79,80.0,78.0,87.0,83.0,65.0,79.0,185
30,87,CAM,4,3,78,86,84,85,40,72,30,75,74.0,74.0,85.0,55.0,80.0,74.0,180
31,87,LM,4,3,78,86,84,85,40,72,30,75,74.0,74.0,85.0,55.0,80.0,74.0,180
32,87,ST,4,3,94,83,83,84,63,80,32,74,77.0,65.0,85.0,67.0,80.0,89.0,183
33,86,ST,3,4,75,86,81,81,47,87,36,83,89.0,77.0,85.0,81.0,85.0,89.0,176
34,86,CM,3,3,52,79,84,79,76,78,37,79,80.0,61.0,83.0,83.0,87.0,76.0,183
35,86,ST,3,3,87,88,76,88,45,84,37,75,86.0,91.0,90.0,77.0,61.0,91.0,173
36,86,ST,4,4,83,84,75,81,22,74,34,79,65.0,60.0,86.0,70.0,47.0,76.0,187
37,86,CB,2,3,64,58,74,70,88,77,33,92,71.0,58.0,77.0,70.0,84.0,67.0,191
38,86,ST,3,4,82,83,63,79,40,88,33,85,90.0,52.0,82.0,60.0,48.0,85.0,188
39,86,CM,3,4,77,79,80,81,83,83,34,75,90.0,77.0,83.0,82.0,80.0,93.0,180
40,86,LW,4,3,87,83,78,88,39,73,33,62,80.0,87.0,87.0,72.0,73.0,86.0,169
41,86,LM,4,4,90,84,85,86,39,64,32,75,47.0,82.0,85.0,70.0,79.0,73.0,180
42,86,CDM,3,3,53,59,77,74,83,80,33,76,86.0,55.0,83.0,66.0,81.0,86.0,189
43,86,CF,3,4,77,84,80,79,46,72,32,75,57.0,73.0,81.0,81.0,77.0,90.0,186
46,86,CM,4,4,77,80,82,86,74,88,28,80,80.0,61.0,89.0,85.0,81.0,87.0,188
47,86,CAM,4,5,77,83,86,84,40,75,30,76,69.0,78.0,89.0,66.0,83.0,87.0,181
48,86,CB,2,3,70,49,64,62,88,80,35,73,86.0,58.0,73.0,87.0,70.0,74.0,185
50,86,RW,4,2,88,80,85,87,50,71,33,75,77.0,79.0,87.0,73.0,82.0,79.0,180
51,86,ST,3,4,81,86,68,82,24,73,34,82,51.0,60.0,85.0,75.0,55.0,70.0,184
52,86,ST,4,3,87,83,78,88,39,73,33,62,80.0,87.0,87.0,72.0,73.0,86.0,169
53,86,RM,3,4,77,84,80,79,46,72,32,75,57.0,73.0,81.0,81.0,77.0,90.0,186
54,86,LW,4,2,88,80,85,87,50,71,33,75,77.0,79.0,87.0,73.0,82.0,79.0,180
58,85,CB,2,4,34,47,57,52,87,81,41,90,88.0,46.0,63.0,78.0,64.0,67.0,187
59,85,CM,3,4,76,83,81,79,70,86,38,90,78.0,55.0,83.0,65.0,83.0,86.0,189
61,85,CB,2,3,69,54,62,65,86,81,35,85,81.0,42.0,68.0,73.0,66.0,70.0,192
62,85,CAM,4,5,73,78,85,87,56,64,37,66,60.0,91.0,86.0,71.0,84.0,72.0,168
63,85,CB,2,3,64,54,67,60,86,76,34,85,68.0,44.0,76.0,74.0,80.0,69.0,193
64,85,CB,2,4,73,69,64,63,88,76,39,89,76.0,42.0,69.0,48.0,70.0,62.0,198
65,85,ST,3,3,76,83,71,81,42,80,34,71,82.0,59.0,83.0,88.0,50.0,90.0,184
66,85,CB,2,3,70,48,63,62,87,78,35,73,84.0,58.0,73.0,85.0,69.0,73.0,185
67,85,CAM,4,2,88,79,83,86,49,70,33,75,76.0,79.0,86.0,72.0,81.0,78.0,180
68,85,LB,3,4,86,72,81,83,84,72,29,76,69.0,77.0,84.0,82.0,80.0,88.0,180
70,85,CM,3,3,68,83,87,82,59,67,33,78,67.0,66.0,87.0,52.0,93.0,79.0,184
71,85,CB,2,3,76,49,57,62,88,81,37,76,89.0,63.0,69.0,87.0,66.0,71.0,186
72,85,CDM,3,4,86,72,81,83,84,72,29,76,69.0,77.0,84.0,82.0,80.0,88.0,180
76,84,CM,2,4,41,71,93,81,54,58,42,68,56.0,83.0,90.0,33.0,94.0,61.0,177
77,84,ST,4,3,67,86,81,81,33,67,38,71,55.0,59.0,84.0,59.0,75.0,68.0,187
78,84,CM,3,3,54,82,86,75,69,80,41,83,85.0,60.0,82.0,71.0,87.0,74.0,183
79,84,CDM,2,4,33,69,88,77,76,70,40,80,78.0,67.0,84.0,46.0,93.0,62.0,183
80,84,CB,2,3,73,50,58,59,86,83,38,81,94.0,58.0,57.0,76.0,60.0,75.0,188
81,84,CB,2,3,75,36,55,59,88,77,40,79,76.0,69.0,65.0,83.0,65.0,65.0,186
82,84,CAM,3,5,75,80,86,84,45,62,37,72,65.0,85.0,86.0,51.0,87.0,65.0,170
83,84,RB,3,3,86,70,76,83,78,69,38,70,85.0,82.0,85.0,78.0,76.0,79.0,172
84,84,ST,3,4,80,84,68,81,22,71,34,82,50.0,60.0,84.0,73.0,55.0,69.0,184
86,84,CB,2,3,76,49,56,57,86,80,37,76,88.0,58.0,64.0,86.0,65.0,71.0,186
87,84,CM,3,3,68,82,86,82,56,67,33,78,67.0,66.0,87.0,52.0,92.0,79.0,184
88,84,CDM,2,3,75,67,77,75,83,81,34,70,84.0,79.0,77.0,83.0,79.0,94.0,175
89,84,CM,4,4,81,74,82,83,77,78,35,76,84.0,77.0,85.0,69.0,83.0,89.0,179
90,84,CB,2,3,65,44,54,61,86,83,34,92,84.0,47.0,66.0,79.0,62.0,75.0,190
91,84,CB,2,3,52,61,71,65,84,79,33,81,88.0,58.0,71.0,70.0,76.0,62.0,190
92,84,RM,4,3,71,75,84,87,27,55,33,63,52.0,89.0,88.0,72.0,78.0,79.0,170
93,84,CM,3,4,72,75,85,84,63,66,31,74,67.0,78.0,89.0,66.0,85.0,76.0,180
94,84,CAM,4,3,79,75,81,84,43,46,30,67,31.0,80.0,85.0,66.0,82.0,76.0,179
95,84,CAM,4,4,82,74,81,87,33,56,29,68,35.0,91.0,88.0,59.0,78.0,73.0,171
96,84,LB,3,3,92,69,74,81,80,76,32,68,77.0,87.0,80.0,81.0,70.0,92.0,170
97,84,RW,4,3,85,87,81,82,43,86,35,85,84.0,59.0,84.0,72.0,78.0,84.0,180
98,84,CM,4,4,74,77,84,86,58,68,32,78,65.0,58.0,87.0,49.0,83.0,75.0,187
99,84,CDM,3,3,67,70,77,75,82,88,33,84,83.0,53.0,79.0,71.0,81.0,90.0,194
100,84,CAM,4,4,72,73,81,89,32,62,29,72,48.0,84.0,90.0,70.0,75.0,68.0,176
101,84,CB,2,3,75,56,56,54,86,82,33,81,85.0,62.0,60.0,90.0,66.0,78.0,183
103,84,ST,4,4,88,85,74,85,34,73,30,73,70.0,84.0,84.0,78.0,68.0,74.0,175
104,84,ST,4,4,81,82,67,79,44,85,35,85,83.0,58.0,82.0,85.0,63.0,82.0,185
105,84,CAM,4,3,75,75,80,87,32,63,29,74,58.0,84.0,89.0,64.0,78.0,75.0,176
106,84,CM,4,4,68,58,83,87,78,69,29,60,89.0,94.0,85.0,64.0,87.0,80.0,165
107,84,ST,3,3,96,83,75,80,37,71,32,80,45.0,66.0,80.0,76.0,64.0,79.0,187
110,84,CB,2,3,78,40,62,66,85,78,36,75,90.0,62.0,68.0,89.0,67.0,75.0,186
111,84,ST,4,3,86,83,78,85,29,68,30,67,69.0,70.0,82.0,79.0,75.0,75.0,176
112,84,LW,4,3,71,75,84,87,27,55,33,63,52.0,89.0,88.0,72.0,78.0,79.0,170
113,84,ST,4,3,85,87,81,82,43,86,35,85,84.0,59.0,84.0,72.0,78.0,84.0,180
114,84,RW,4,3,86,83,78,85,29,68,30,67,69.0,70.0,82.0,79.0,75.0,75.0,176
118,84,LM,4,4,72,73,81,89,32,62,29,72,48.0,84.0,90.0,70.0,75.0,68.0,176
120,83,CDM,2,4,68,66,74,72,82,84,38,83,84.0,72.0,78.0,78.0,80.0,84.0,185
121,83,CB,2,3,31,41,57,48,88,75,37,90,69.0,28.0,65.0,33.0,58.0,64.0,198
122,83,CB,2,2,76,64,66,55,84,82,38,84,81.0,50.0,65.0,72.0,76.0,69.0,189
123,83,CB,2,3,52,33,48,50,85,80,40,88,85.0,47.0,58.0,85.0,57.0,52.0,190
124,83,CB,2,3,68,59,70,69,85,80,37,73,89.0,79.0,82.0,75.0,75.0,87.0,174
125,83,RM,4,4,75,74,82,87,63,73,34,76,78.0,72.0,90.0,79.0,79.0,76.0,177
127,83,CAM,3,4,71,76,83,82,71,71,35,61,77.0,84.0,84.0,81.0,83.0,91.0,170
129,83,LB,3,3,75,75,81,77,82,74,37,70,74.0,85.0,76.0,72.0,74.0,86.0,170
131,83,CB,2,3,73,58,52,62,86,76,36,86,78.0,51.0,64.0,82.0,61.0,68.0,193
132,83,CB,2,3,78,40,62,65,84,75,36,75,87.0,62.0,67.0,86.0,67.0,73.0,186
133,83,LM,4,4,81,76,83,86,38,58,34,75,33.0,92.0,88.0,50.0,77.0,72.0,175
135,83,ST,4,4,72,82,64,79,37,73,35,72,70.0,75.0,83.0,92.0,53.0,71.0,177
137,83,CB,2,3,52,57,68,64,87,78,35,80,74.0,38.0,73.0,71.0,75.0,70.0,188
138,83,ST,3,2,89,83,69,81,25,70,32,76,60.0,64.0,81.0,74.0,62.0,72.0,188
139,83,CAM,3,4,74,77,81,82,58,70,34,79,61.0,63.0,85.0,72.0,75.0,78.0,183
140,83,CB,2,3,75,53,57,60,86,83,33,85,88.0,67.0,59.0,84.0,64.0,74.0,186
141,83,RW,3,4,86,81,82,85,45,74,34,72,66.0,76.0,87.0,57.0,75.0,93.0,181
143,83,LB,3,4,81,67,77,84,81,79,33,75,86.0,84.0,86.0,77.0,76.0,81.0,174
144,83,CM,3,3,80,78,79,81,80,84,33,65,90.0,84.0,84.0,76.0,82.0,94.0,176
145,83,CB,2,3,65,47,63,65,84,78,33,82,79.0,61.0,70.0,82.0,64.0,69.0,187
146,83,CDM,2,4,62,70,73,70,83,86,34,85,84.0,55.0,77.0,65.0,75.0,85.0,189
147,83,CB,3,3,73,64,73,73,82,77,34,84,84.0,56.0,79.0,82.0,76.0,71.0,189
148,83,ST,3,3,77,82,62,76,38,86,35,84,88.0,55.0,79.0,87.0,41.0,81.0,187
149,83,LM,4,2,83,74,83,86,40,57,33,69,57.0,83.0,85.0,68.0,81.0,70.0,174
150,83,CB,2,3,70,50,66,67,85,81,34,82,84.0,55.0,73.0,85.0,77.0,75.0,190
151,83,CDM,2,3,70,60,70,71,84,82,34,80,88.0,62.0,76.0,75.0,78.0,83.0,187
152,83,LW,4,5,82,76,77,84,37,62,34,62,56.0,82.0,85.0,67.0,74.0,78.0,167
153,83,CM,4,3,72,75,81,89,57,64,30,70,67.0,85.0,88.0,72.0,83.0,69.0,174
154,83,CAM,4,5,77,75,84,83,44,59,29,71,44.0,79.0,85.0,57.0,82.0,87.0,177
155,83,LB,3,3,75,67,82,78,84,76,29,77,79.0,73.0,80.0,75.0,78.0,78.0,181
156,83,CAM,3,4,74,72,85,81,53,73,29,74,68.0,79.0,86.0,61.0,86.0,80.0,178
157,83,ST,4,3,85,81,77,84,29,68,30,67,69.0,70.0,82.0,79.0,75.0,75.0,176
158,83,RM,4,3,90,76,76,86,33,64,31,80,49.0,78.0,84.0,75.0,66.0,76.0,183
159,83,CB,2,2,73,37,59,60,86,78,27,85,72.0,55.0,70.0,77.0,79.0,72.0,189
160,83,RM,4,5,86,75,79,87,55,71,32,75,68.0,81.0,87.0,73.0,77.0,82.0,177
161,83,CM,4,4,75,71,84,86,65,74,31,80,69.0,83.0,86.0,63.0,82.0,76.0,180
162,83,ST,3,4,77,85,78,84,31,65,37,74,59.0,67.0,89.0,65.0,62.0,74.0,181
163,83,RM,5,3,91,77,79,86,50,64,31,65,55.0,87.0,86.0,61.0,74.0,77.0,172
164,83,CB,3,2,81,19,44,61,86,84,30,79,88.0,61.0,66.0,88.0,63.0,80.0,186
165,83,CDM,2,3,68,59,70,69,85,80,37,73,89.0,79.0,82.0,75.0,75.0,87.0,174
166,83,LM,4,4,75,74,82,87,63,73,34,76,78.0,72.0,90.0,79.0,79.0,76.0,177
178,82,ST,3,3,71,83,63,72,47,81,40,78,83.0,58.0,78.0,96.0,47.0,74.0,182
180,82,RB,2,3,83,60,72,75,80,79,37,77,84.0,77.0,75.0,75.0,71.0,91.0,180
181,82,LM,5,4,84,79,82,86,24,65,35,66,58.0,79.0,86.0,51.0,83.0,77.0,175
182,82,RB,3,3,73,56,70,75,85,83,36,76,90.0,66.0,77.0,84.0,64.0,85.0,178
184,82,CB,2,2,39,53,59,57,85,76,40,81,84.0,32.0,70.0,59.0,60.0,47.0,192
185,82,ST,3,4,66,84,64,71,32,72,38,83,65.0,62.0,76.0,77.0,44.0,68.0,186
186,82,CAM,4,4,77,77,83,80,54,73,34,80,63.0,75.0,84.0,69.0,80.0,90.0,185
187,82,CB,2,3,72,65,69,67,85,80,36,81,81.0,73.0,74.0,87.0,77.0,79.0,181
188,82,CM,3,4,71,72,85,81,65,67,36,73,58.0,82.0,86.0,68.0,86.0,76.0,175
189,82,LB,3,3,82,62,76,76,81,77,36,77,75.0,60.0,78.0,62.0,77.0,89.0,182
191,82,RW,4,2,86,79,75,84,25,65,32,75,57.0,82.0,83.0,69.0,63.0,64.0,177
192,82,CB,2,2,72,33,47,57,85,80,35,80,84.0,59.0,69.0,81.0,64.0,68.0,184
194,82,CB,2,3,71,67,70,69,83,81,34,86,83.0,55.0,74.0,80.0,74.0,79.0,189
195,82,CAM,4,4,89,78,80,87,37,56,34,61,64.0,92.0,87.0,59.0,74.0,76.0,169
196,82,ST,3,4,77,83,74,83,30,65,37,74,59.0,67.0,88.0,65.0,59.0,74.0,181
197,82,CDM,2,3,64,63,76,74,80,82,32,75,85.0,66.0,79.0,72.0,83.0,90.0,181
199,82,ST,2,3,67,82,69,71,38,83,35,88,76.0,45.0,82.0,78.0,56.0,79.0,192
200,82,RM,4,4,89,74,78,85,50,63,33,75,44.0,82.0,85.0,46.0,77.0,86.0,175
202,82,ST,3,4,77,81,65,75,33,85,31,83,76.0,48.0,81.0,82.0,48.0,77.0,190
203,82,LB,3,3,80,56,74,74,84,76,32,75,76.0,73.0,77.0,74.0,74.0,86.0,178
204,82,CM,3,3,69,78,79,80,68,76,30,70,75.0,75.0,82.0,63.0,82.0,93.0,177
205,82,CM,4,4,75,71,82,85,63,72,31,80,68.0,83.0,85.0,62.0,81.0,74.0,180
206,82,CAM,4,4,88,76,76,86,67,65,31,70,45.0,85.0,86.0,52.0,75.0,75.0,173
207,82,ST,3,3,95,81,75,79,36,71,32,80,45.0,66.0,79.0,76.0,64.0,79.0,187
209,82,CAM,4,4,80,67,75,87,34,49,32,68,30.0,92.0,84.0,67.0,72.0,80.0,175
210,82,CM,3,4,59,75,87,80,57,70,32,75,51.0,70.0,86.0,60.0,86.0,81.0,180
211,82,CB,2,2,62,24,43,53,85,82,33,80,86.0,55.0,59.0,79.0,59.0,69.0,190
212,82,LB,3,2,85,65,75,81,80,75,30,78,74.0,75.0,81.0,75.0,73.0,85.0,180
213,82,CB,2,3,69,57,62,55,83,80,29,82,79.0,70.0,64.0,82.0,66.0,75.0,184
215,82,CB,3,2,81,19,42,60,85,82,30,79,86.0,60.0,65.0,86.0,61.0,79.0,186
216,82,RM,5,3,93,77,75,87,54,71,33,66,79.0,77.0,84.0,60.0,73.0,80.0,176
217,82,CDM,2,4,67,62,72,70,83,83,32,76,86.0,65.0,77.0,80.0,78.0,91.0,187
218,82,CDM,2,3,71,57,72,62,82,87,31,85,88.0,52.0,79.0,75.0,82.0,80.0,186
219,82,CB,2,4,66,41,58,66,85,76,29,78,75.0,56.0,72.0,78.0,71.0,72.0,189
221,82,LW,4,4,92,77,80,84,33,66,32,69,48.0,81.0,85.0,66.0,80.0,76.0,176
222,82,RW,4,3,93,73,75,87,44,62,29,72,67.0,85.0,84.0,71.0,74.0,69.0,172
223,82,CB,2,3,79,45,60,63,84,76,28,78,73.0,47.0,76.0,74.0,74.0,69.0,191
224,82,CAM,4,3,76,76,78,84,40,69,30,76,41.0,78.0,83.0,81.0,74.0,84.0,181
225,82,LM,4,3,93,71,73,87,46,61,27,69,34.0,91.0,85.0,61.0,70.0,75.0,170
226,82,ST,2,2,83,83,65,80,24,77,35,77,72.0,71.0,79.0,75.0,52.0,73.0,181
228,82,CDM,3,4,44,67,78,73,79,82,39,83,87.0,50.0,81.0,83.0,86.0,74.0,187
230,82,CM,3,4,51,67,81,73,72,77,29,82,89.0,63.0,81.0,33.0,89.0,79.0,185
231,82,ST,3,3,86,82,65,77,31,64,33,71,59.0,84.0,77.0,85.0,55.0,75.0,175
232,82,CAM,4,4,77,78,84,83,44,69,34,77,54.0,77.0,83.0,48.0,86.0,72.0,175
233,82,ST,3,4,83,82,67,74,34,84,28,94,73.0,48.0,77.0,72.0,58.0,77.0,190
234,82,LW,4,3,81,74,78,90,40,59,31,66,46.0,88.0,87.0,73.0,73.0,75.0,175
235,82,CB,2,3,76,33,56,64,85,82,32,81,82.0,47.0,67.0,76.0,57.0,80.0,192
237,82,RB,2,3,81,44,72,80,82,82,29,73,83.0,83.0,83.0,76.0,72.0,85.0,173
238,82,CDM,2,3,77,53,72,76,81,71,36,73,87.0,78.0,78.0,79.0,77.0,87.0,173
239,82,RM,4,5,84,80,80,80,42,76,32,81,67.0,67.0,80.0,83.0,76.0,77.0,187
241,82,LW,4,3,89,72,80,88,27,51,30,59,35.0,94.0,88.0,58.0,75.0,83.0,163
242,82,CDM,2,3,68,64,78,74,83,82,32,80,78.0,66.0,77.0,76.0,84.0,95.0,184
243,82,RW,5,4,84,79,82,86,24,65,35,66,58.0,79.0,86.0,51.0,83.0,77.0,175
244,82,ST,4,2,86,79,75,84,25,65,32,75,57.0,82.0,83.0,69.0,63.0,64.0,177
245,82,LB,2,3,71,67,70,69,83,81,34,86,83.0,55.0,74.0,80.0,74.0,79.0,189
246,82,RM,4,4,89,78,80,87,37,56,34,61,64.0,92.0,87.0,59.0,74.0,76.0,169
251,82,LW,5,4,84,79,82,86,24,65,35,66,58.0,79.0,86.0,51.0,83.0,77.0,175
260,82,LM,4,4,92,77,80,84,33,66,32,69,48.0,81.0,85.0,66.0,80.0,76.0,176
261,81,CB,2,3,53,41,54,50,86,77,41,83,83.0,44.0,57.0,55.0,59.0,61.0,191
262,81,CF,3,4,53,78,87,85,18,59,39,80,31.0,82.0,90.0,39.0,84.0,55.0,175
263,81,ST,2,4,70,77,63,73,28,63,43,84,46.0,61.0,78.0,90.0,43.0,53.0,184
264,81,RM,5,4,84,77,79,86,18,65,38,74,62.0,79.0,87.0,63.0,72.0,68.0,175
265,81,ST,3,4,63,83,74,75,36,78,43,85,79.0,52.0,80.0,78.0,66.0,66.0,189
266,81,CM,3,4,43,73,82,78,73,65,39,64,71.0,78.0,84.0,65.0,84.0,67.0,175
267,81,CDM,3,4,44,66,77,72,77,82,39,83,87.0,50.0,80.0,83.0,85.0,74.0,187
268,81,LB,3,2,78,51,72,76,82,74,40,76,80.0,85.0,75.0,89.0,71.0,75.0,173
269,81,CDM,2,3,71,51,69,71,78,86,37,72,88.0,86.0,77.0,79.0,76.0,84.0,174
270,81,CB,2,3,67,46,58,55,83,81,39,83,79.0,64.0,62.0,90.0,66.0,78.0,183
273,81,CB,2,3,34,40,53,49,83,76,41,78,87.0,55.0,59.0,72.0,63.0,49.0,184
274,81,CB,2,3,53,58,50,53,83,81,39,92,80.0,43.0,58.0,84.0,62.0,64.0,188
275,81,CAM,4,4,68,78,81,80,30,60,39,83,45.0,64.0,84.0,55.0,73.0,55.0,186
278,81,RB,3,3,77,75,85,75,78,77,39,72,85.0,65.0,81.0,67.0,87.0,83.0,178
279,81,ST,3,3,70,81,68,75,39,83,36,86,80.0,55.0,81.0,76.0,66.0,72.0,186
280,81,RM,4,3,89,70,76,83,28,50,36,60,50.0,87.0,82.0,62.0,74.0,79.0,170
281,81,RB,3,3,84,59,73,77,77,78,36,72,78.0,62.0,79.0,68.0,66.0,90.0,180
283,81,ST,3,3,70,83,71,74,36,78,36,84,80.0,51.0,77.0,70.0,62.0,67.0,186
284,81,ST,4,4,73,80,74,82,42,75,38,84,70.0,70.0,83.0,84.0,67.0,79.0,185
285,81,CB,2,3,61,41,57,59,84,76,36,82,79.0,56.0,66.0,77.0,65.0,62.0,190
287,81,CF,4,4,86,77,71,85,32,60,34,73,48.0,76.0,87.0,69.0,60.0,68.0,182
288,81,RM,3,3,96,77,74,81,33,63,32,68,61.0,80.0,80.0,59.0,65.0,75.0,176
289,81,CB,2,2,62,38,48,53,82,82,37,81,84.0,52.0,59.0,75.0,62.0,75.0,191
290,81,CM,3,4,54,68,84,81,69,61,33,73,56.0,74.0,85.0,59.0,86.0,63.0,180
291,81,CB,2,3,56,35,52,62,84,79,38,81,84.0,56.0,64.0,73.0,54.0,69.0,187
292,81,RB,2,3,79,66,72,74,82,80,36,79,83.0,67.0,76.0,75.0,68.0,79.0,184
293,81,CAM,4,3,86,73,80,83,31,49,37,58,52.0,93.0,83.0,42.0,75.0,76.0,167
294,81,CAM,4,4,77,76,82,81,44,68,34,77,54.0,76.0,81.0,48.0,84.0,71.0,175
295,81,CM,4,3,71,74,77,82,74,80,32,73,78.0,60.0,85.0,72.0,78.0,85.0,186
296,81,CM,2,3,68,64,76,73,82,81,32,80,78.0,66.0,76.0,76.0,82.0,94.0,184
297,81,LB,2,3,85,64,79,78,77,74,35,65,75.0,79.0,80.0,74.0,77.0,90.0,172
301,81,ST,4,3,90,80,68,74,34,71,34,80,57.0,65.0,76.0,90.0,60.0,75.0,185
302,81,CB,2,3,66,42,63,53,84,80,32,90,82.0,58.0,67.0,62.0,70.0,78.0,189
304,81,RB,3,3,80,68,72,78,81,78,33,77,78.0,74.0,77.0,72.0,70.0,90.0,177
305,81,ST,3,4,66,84,67,72,31,72,35,85,51.0,42.0,78.0,66.0,59.0,72.0,193
306,81,ST,4,4,77,81,78,83,36,69,32,79,50.0,62.0,82.0,70.0,73.0,75.0,183
307,81,CB,2,3,83,51,63,66,86,75,34,77,80.0,77.0,65.0,93.0,65.0,75.0,182
308,81,CB,2,3,74,60,64,67,82,84,36,86,80.0,58.0,67.0,90.0,69.0,74.0,184
309,81,CB,2,2,66,33,60,56,81,84,31,83,85.0,55.0,61.0,82.0,63.0,72.0,187
310,81,CM,2,3,74,79,77,76,77,82,36,82,89.0,71.0,79.0,77.0,82.0,84.0,186
311,81,CB,2,4,63,59,67,63,83,79,32,75,79.0,49.0,68.0,78.0,78.0,74.0,186
312,81,RB,2,4,79,51,69,73,82,78,32,70,84.0,77.0,75.0,70.0,68.0,91.0,182
313,81,CF,4,4,90,77,79,85,26,60,34,59,73.0,93.0,85.0,53.0,70.0,75.0,164
314,81,RW,4,3,89,73,76,85,32,63,31,75,46.0,80.0,84.0,72.0,71.0,85.0,177
315,81,CAM,3,2,90,80,73,83,21,62,34,73,53.0,81.0,84.0,73.0,55.0,83.0,178
316,81,CB,2,4,75,39,62,66,84,74,32,83,73.0,60.0,71.0,81.0,68.0,65.0,187
317,81,CB,2,3,68,51,65,57,84,79,31,80,80.0,59.0,70.0,84.0,69.0,76.0,182
318,81,CB,2,3,76,44,67,70,82,75,31,77,79.0,78.0,76.0,86.0,76.0,70.0,180
319,81,CDM,2,4,53,68,74,69,81,83,33,88,84.0,50.0,80.0,68.0,82.0,78.0,195
320,81,ST,3,4,72,83,59,74,39,85,33,91,70.0,72.0,76.0,86.0,45.0,78.0,182
321,81,RB,3,3,86,61,71,78,79,76,30,67,76.0,76.0,76.0,73.0,67.0,87.0,175
322,81,RM,5,3,90,75,78,86,50,63,31,65,55.0,87.0,86.0,61.0,74.0,76.0,172
324,81,RM,4,5,86,72,76,86,55,71,32,75,68.0,81.0,86.0,73.0,75.0,82.0,177
325,81,CAM,4,4,85,71,81,85,74,75,30,78,80.0,75.0,85.0,69.0,79.0,91.0,184
326,81,CB,2,2,67,42,65,62,82,79,32,80,79.0,58.0,73.0,78.0,70.0,67.0,184
327,81,CDM,2,4,76,51,69,70,79,89,34,76,91.0,92.0,74.0,90.0,76.0,92.0,171
329,81,RM,3,3,91,75,75,83,31,62,30,70,58.0,82.0,79.0,69.0,64.0,74.0,179
330,81,CAM,4,3,89,70,78,87,27,47,30,59,33.0,93.0,87.0,54.0,74.0,77.0,163
331,81,RB,3,4,81,76,77,78,80,80,30,78,74.0,66.0,80.0,75.0,75.0,84.0,184
333,81,CM,3,4,51,66,80,71,70,77,29,82,89.0,62.0,79.0,33.0,88.0,79.0,185
334,81,LM,3,4,80,73,80,82,27,72,32,79,62.0,64.0,85.0,59.0,81.0,74.0,184
